X,M
1166,22388
1167,22378
1168,22368
1169,22358
1170,22348
1171,22338
1172,22328
1173,22317
1174,22307
1175,22297
1176,22286
1177,22276
1178,22265
1179,22254
1180,22243
1181,22233
1182,22222
1183,22211
1184,22200
1185,22189
1186,22178
1187,22166
1188,22155
1189,22144
1190,22132
1191,22121
1192,22109
1193,22098
1194,22086
1195,22074
1196,22062
1197,22050
1198,22038
1199,22026
1200,22014
1201,22002
1202,21990
1203,21978
1204,21965
1205,21953
1206,21940
1207,21928
1208,21915
1209,21902
1210,21890
1211,21877
1212,21864
1213,21851
1214,21838
1215,21825
1216,21812
1217,21798
1218,21785
1219,21772
1220,21758
1221,21745
1222,21731
1223,21718
1224,21704
1225,21690
1226,21676
1227,21662
1228,21648
1229,21634
1230,21620
1231,21606
1232,21592
1233,21577
1234,21563
1235,21549
1236,21534
1237,21520
1238,21505
1239,21490
1240,21475
1241,21461
1242,21446
1243,21431
1244,21416
1245,21401
1246,21385
1247,21370
1248,21355
1249,21340
1250,21324
1251,21309
1252,21293
1253,21277
1254,21262
1255,21246
1256,21230
1257,21214
1258,21198
1259,21182
1260,21166
1261,21150
1262,21134
1263,21117
1264,21101
1265,21085
1266,21068
1267,21052
1268,21035
1269,21018
1270,21001
1271,20985
1272,20968
1273,20951
1274,20934
1275,20917
1276,20900
1277,20882
1278,20865
1279,20848
1280,20830
1281,20813
1282,20795
1283,20778
1284,20760
1285,20742
1286,20724
1287,20706
1288,20688
1289,20670
1290,20652
1291,20634
1292,20616
1293,20598
1294,20579
1295,20561
1296,20543
1297,20524
1298,20505
1299,20487
1300,20468
1301,20449
1302,20430
1303,20411
1304,20392
1305,20373
1306,20354
1307,20335
1308,20316
1309,20296
1310,20277
1311,20258
1312,20238
1313,20218
1314,20199
1315,20179
1316,20159
1317,20139
1318,20120
1319,20100
1320,20080
1321,20059
1322,20039
1323,20019
1324,19999
1325,19978
1326,19958
1327,19937
1328,19917
1329,19896
1330,19876
1331,19855
1332,19834
1333,19813
1334,19792
1335,19771
1336,19750
1337,19729
1338,19708
1339,19687
1340,19665
1341,19644
1342,19622
1343,19601
1344,19579
1345,19558
1346,19536
1347,19514
1348,19492
1349,19470
1350,19448
1351,19426
1352,19404
1353,19382
1354,19360
1355,19338
1356,19315
1357,19293
1358,19270
1359,19248
1360,19225
1361,19203
1362,19180
1363,19157
1364,19134
1365,19111
1366,19088
1367,19065
1368,19042
1369,19019
1370,18996
1371,18973
1372,18949
1373,18926
1374,18902
1375,18879
1376,18855
1377,18831
1378,18808
1379,18784
1380,18760
1381,18736
1382,18712
1383,18688
1384,18664
1385,18640
1386,18616
1387,18591
1388,18567
1389,18543
1390,18518
1391,18494
1392,18469
1393,18444
1394,18420
1395,18395
1396,18370
1397,18345
1398,18320
1399,18295
1400,18270
1401,18245
1402,18219
1403,18194
1404,18169
1405,18143
1406,18118
1407,18092
1408,18067
1409,18041
1410,18016
1411,17990
1412,17964
1413,17938
1414,17912
1415,17886
1416,17860
1417,17834
1418,17808
1419,17781
1420,17755
1421,17729
1422,17702
1423,17676
1424,17649
1425,17623
1426,17596
1427,17569
1428,17542
1429,17516
1430,17489
1431,17462
1432,17435
1433,17407
1434,17380
1435,17353
1436,17326
1437,17299
1438,17271
1439,17244
1440,17216
1441,17189
1442,17161
1443,17133
1444,17106
1445,17078
1446,17050
1447,17022
1448,16994
1449,16966
1450,16938
1451,16910
1452,16881
1453,16853
1454,16825
1455,16796
1456,16768
1457,16739
1458,16711
1459,16682
1460,16654
1461,16625
1462,16596
1463,16567
1464,16538
1465,16509
1466,16480
1467,16451
1468,16422
1469,16393
1470,16364
1471,16334
1472,16305
1473,16275
1474,16246
1475,16216
1476,16187
1477,16157
1478,16127
1479,16098
1480,16068
1481,16038
1482,16008
1483,15978
1484,15948
1485,15918
1486,15888
1487,15857
1488,15827
1489,15797
1490,15766
1491,15736
1492,15705
1493,15675
1494,15644
1495,15614
1496,15583
1497,15552
1498,15521
1499,15490
1500,15459
1501,15428
1502,15397
1503,15366
1504,15335
1505,15304
1506,15273
1507,15241
1508,15210
1509,15178
1510,15147
1511,15115
1512,15084
1513,15052
1514,15020
1515,14989
1516,14957
1517,14925
1518,14893
1519,14861
1520,14829
1521,14797
1522,14765
1523,14733
1524,14700
1525,14668
1526,14636
1527,14603
1528,14571
1529,14538
1530,14506
1531,14473
1532,14440
1533,14408
1534,14375
1535,14342
1536,14309
1537,14276
1538,14243
1539,14210
1540,14177
1541,14144
1542,14111
1543,14078
1544,14044
1545,14011
1546,13978
1547,13944
1548,13911
1549,13877
1550,13844
1551,13810
1552,13776
1553,13742
1554,13709
1555,13675
1556,13641
1557,13607
1558,13573
1559,13539
1560,13505
1561,13471
1562,13436
1563,13402
1564,13368
1565,13333
1566,13299
1567,13265
1568,13230
1569,13196
1570,13161
1571,13126
1572,13092
1573,13057
1574,13022
1575,12987
1576,12952
1577,12917
1578,12882
1579,12847
1580,12812
1581,12777
1582,12742
1583,12707
1584,12671
1585,12636
1586,12601
1587,12565
1588,12530
1589,12494
1590,12459
1591,12423
1592,12387
1593,12352
1594,12316
1595,12280
1596,12244
1597,12208
1598,12172
1599,12137
1600,12100
1601,12064
1602,12028
1603,11992
1604,11956
1605,11920
1606,11883
1607,11847
1608,11811
1609,11774
1610,11738
1611,11701
1612,11664
1613,11628
1614,11591
1615,11554
1616,11518
1617,11481
1618,11444
1619,11407
1620,11370
1621,11333
1622,11296
1623,11259
1624,11222
1625,11185
1626,11148
1627,11110
1628,11073
1629,11036
1630,10998
1631,10961
1632,10924
1633,10886
1634,10848
1635,10811
1636,10773
1637,10736
1638,10698
1639,10660
1640,10622
1641,10584
1642,10547
1643,10509
1644,10471
1645,10433
1646,10395
1647,10357
1648,10318
1649,10280
1650,10242
1651,10204
1652,10165
1653,10127
1654,10089
1655,10050
1656,10012
1657,9973
1658,9935
1659,9896
1660,9858
1661,9819
1662,9780
1663,9742
1664,9703
1665,9664
1666,9625
1667,9586
